time,parent,analyte,matrix,conc,replicate,microMexp
30,Triadimefon,Triadimefon,microsomes,26.25228145,3,50
60,Triadimefon,Triadimefon,microsomes,25.95782864,2,50
60,Triadimefon,Triadimefon,microsomes,28.59868326,3,50
90,Triadimefon,Triadimefon,microsomes,22.32352998,1,50
90,Triadimefon,Triadimefon,microsomes,22.61126729,2,50
90,Triadimefon,Triadimefon,microsomes,22.93204565,3,50
0,Triadimefon,Triadimefon,microsomes,40.78378417,1,75
0,Triadimefon,Triadimefon,microsomes,39.14533446,2,75
0,Triadimefon,Triadimefon,microsomes,37.19980911,3,75
15,Triadimefon,Triadimefon,microsomes,39.60290919,1,75
15,Triadimefon,Triadimefon,microsomes,36.37647057,2,75
15,Triadimefon,Triadimefon,microsomes,38.41537648,3,75
30,Triadimefon,Triadimefon,microsomes,41.36228948,1,75
30,Triadimefon,Triadimefon,microsomes,39.60347726,2,75
30,Triadimefon,Triadimefon,microsomes,37.05197615,3,75
60,Triadimefon,Triadimefon,microsomes,38.79077057,1,75
60,Triadimefon,Triadimefon,microsomes,39.14694989,2,75
60,Triadimefon,Triadimefon,microsomes,38.88285882,3,75
90,Triadimefon,Triadimefon,microsomes,38.84162326,1,75
90,Triadimefon,Triadimefon,microsomes,38.38496898,2,75
90,Triadimefon,Triadimefon,microsomes,38.08875118,3,75
0,Triadimefon,Triadimefon,microsomes,48.8233658,1,100
0,Triadimefon,Triadimefon,microsomes,45.64682255,2,100
0,Triadimefon,Triadimefon,microsomes,49.68642703,3,100
15,Triadimefon,Triadimefon,microsomes,49.24893567,1,100
15,Triadimefon,Triadimefon,microsomes,52.23999837,2,100
15,Triadimefon,Triadimefon,microsomes,54.94800062,3,100
30,Triadimefon,Triadimefon,microsomes,51.63283427,1,100
30,Triadimefon,Triadimefon,microsomes,55.62979138,2,100
30,Triadimefon,Triadimefon,microsomes,53.25296347,3,100
60,Triadimefon,Triadimefon,microsomes,57.2285182,1,100
60,Triadimefon,Triadimefon,microsomes,52.25557462,2,100
60,Triadimefon,Triadimefon,microsomes,57.56142454,3,100
90,Triadimefon,Triadimefon,microsomes,55.15134637,1,100
90,Triadimefon,Triadimefon,microsomes,52.80788424,2,100
90,Triadimefon,Triadimefon,microsomes,54.77096052,3,100
0,Triadimefon,Triadimefon,microsomes,61.59837616,1,125
0,Triadimefon,Triadimefon,microsomes,58.92902388,2,125
0,Triadimefon,Triadimefon,microsomes,62.18995319,3,125
15,Triadimefon,Triadimefon,microsomes,54.97761564,1,125
15,Triadimefon,Triadimefon,microsomes,64.19295623,2,125
15,Triadimefon,Triadimefon,microsomes,61.97688614,3,125
30,Triadimefon,Triadimefon,microsomes,68.89112849,1,125
30,Triadimefon,Triadimefon,microsomes,56.33566744,2,125
30,Triadimefon,Triadimefon,microsomes,71.31751913,3,125
60,Triadimefon,Triadimefon,microsomes,66.04862513,1,125
60,Triadimefon,Triadimefon,microsomes,69.71262134,3,125
90,Triadimefon,Triadimefon,microsomes,57.48171016,1,125
90,Triadimefon,Triadimefon,microsomes,60.79276739,2,125
90,Triadimefon,Triadimefon,microsomes,57.42314849,3,125
0,Triadimefon,Triadimefon,microsomes,65.77539856,2,150
0,Triadimefon,Triadimefon,microsomes,67.99385172,3,150
15,Triadimefon,Triadimefon,microsomes,78.63355587,1,150
15,Triadimefon,Triadimefon,microsomes,62.93987056,2,150
15,Triadimefon,Triadimefon,microsomes,106.7018113,3,150
30,Triadimefon,Triadimefon,microsomes,73.37624336,1,150
30,Triadimefon,Triadimefon,microsomes,66.9635187,2,150
30,Triadimefon,Triadimefon,microsomes,95.5133834,3,150
60,Triadimefon,Triadimefon,microsomes,69.7678651,1,150
60,Triadimefon,Triadimefon,microsomes,58.53815945,2,150
60,Triadimefon,Triadimefon,microsomes,61.06336245,3,150
90,Triadimefon,Triadimefon,microsomes,82.43537943,1,150
90,Triadimefon,Triadimefon,microsomes,75.76324133,2,150
90,Triadimefon,Triadimefon,microsomes,73.77914496,3,150
0,Triadimefon,Triadimefon,microsomes,293.4352803,1,200
0,Triadimefon,Triadimefon,microsomes,357.1944002,2,200
0,Triadimefon,Triadimefon,microsomes,335.0321393,3,200
15,Triadimefon,Triadimefon,microsomes,338.7826757,1,200
15,Triadimefon,Triadimefon,microsomes,357.9520843,2,200
15,Triadimefon,Triadimefon,microsomes,202.0964578,3,200
30,Triadimefon,Triadimefon,microsomes,422.3552358,1,200
30,Triadimefon,Triadimefon,microsomes,340.5253492,2,200
30,Triadimefon,Triadimefon,microsomes,345.8291382,3,200
60,Triadimefon,Triadimefon,microsomes,359.4674526,1,200
60,Triadimefon,Triadimefon,microsomes,377.2730298,2,200
60,Triadimefon,Triadimefon,microsomes,186.1093226,3,200
90,Triadimefon,Triadimefon,microsomes,471.6047045,1,200
90,Triadimefon,Triadimefon,microsomes,376.1365036,2,200
90,Triadimefon,Triadimefon,microsomes,190.6933116,3,200
0,Triadimefon,Triadimefon,microsomes,222.4579985,1,250
0,Triadimefon,Triadimefon,microsomes,180.8725406,2,250
15,Triadimefon,Triadimefon,microsomes,186.8824662,1,250
15,Triadimefon,Triadimefon,microsomes,208.9457498,2,250
15,Triadimefon,Triadimefon,microsomes,167.0779465,3,250
30,Triadimefon,Triadimefon,microsomes,229.5166359,1,250
30,Triadimefon,Triadimefon,microsomes,99.11335239,2,250
30,Triadimefon,Triadimefon,microsomes,263.0350796,3,250
60,Triadimefon,Triadimefon,microsomes,59.52448054,1,250
60,Triadimefon,Triadimefon,microsomes,46.29054385,2,250
60,Triadimefon,Triadimefon,microsomes,51.98182232,3,250
90,Triadimefon,Triadimefon,microsomes,162.0360626,1,250
90,Triadimefon,Triadimefon,microsomes,200.5560551,2,250
90,Triadimefon,Triadimefon,microsomes,187.8908429,3,250
0,Fipronil,Fipronil,microsomes,105.7355056,1,10
0,Fipronil,Fipronil,microsomes,71.31297707,2,10
0,Fipronil,Fipronil,microsomes,79.81665852,3,10
15,Fipronil,Fipronil,microsomes,7.601993848,1,10
15,Fipronil,Fipronil,microsomes,11.87171779,3,10
30,Fipronil,Fipronil,microsomes,8.347482218,1,10
30,Fipronil,Fipronil,microsomes,12.54233702,2,10
30,Fipronil,Fipronil,microsomes,9.213313367,3,10
60,Fipronil,Fipronil,microsomes,10.38856477,1,10
60,Fipronil,Fipronil,microsomes,12.36949156,2,10
60,Fipronil,Fipronil,microsomes,8.215365646,3,10
90,Fipronil,Fipronil,microsomes,11.17931895,1,10
90,Fipronil,Fipronil,microsomes,12.71923746,2,10
90,Fipronil,Fipronil,microsomes,9.99477721,3,10
0,Fipronil,Fipronil,microsomes,3.553166435,1,2.89
0,Fipronil,Fipronil,microsomes,2.185797914,2,2.89
0,Fipronil,Fipronil,microsomes,4.160901096,3,2.89
15,Fipronil,Fipronil,microsomes,0.961731316,1,2.89
15,Fipronil,Fipronil,microsomes,0.608701865,2,2.89
15,Fipronil,Fipronil,microsomes,2.021395291,3,2.89
30,Fipronil,Fipronil,microsomes,0.34095865,1,2.89
30,Fipronil,Fipronil,microsomes,1.416552854,2,2.89
30,Fipronil,Fipronil,microsomes,4.678731136,3,2.89
60,Fipronil,Fipronil,microsomes,1.597568113,1,2.89
60,Fipronil,Fipronil,microsomes,2.059112975,2,2.89
60,Fipronil,Fipronil,microsomes,4.336224939,3,2.89
